ticker,gics,sector,company,address
AZO,25,Consumer Discretionary,AutoZone Inc,"Memphis, Tennessee"
BBBY,25,Consumer Discretionary,Bed Bath & Beyond,"Union, New Jersey"
BBY,25,Consumer Discretionary,Best Buy Co. Inc.,"Richfield, Minnesota"
BEAM,25,Consumer Discretionary,Beam Inc.,"Deerfield, Illinois"
BIG,25,Consumer Discretionary,Big Lots Inc.,"Columbus, Ohio"
BWA,25,Consumer Discretionary,BorgWarner,"Auburn Hills, Michigan"
CBS,25,Consumer Discretionary,CBS Corp.,"New York, New York"
CCL,25,Consumer Discretionary,Carnival Corp.,"Miami, Florida"
CMCSA,25,Consumer Discretionary,Comcast Corp.,"Philadelphia, Pennsylvania"
CMG,25,Consumer Discretionary,Chipotle Mexican Grill,"Denver, Colorado"
COH,25,Consumer Discretionary,Coach Inc.,"New York, New York"
CVC,25,Consumer Discretionary,Cablevision Systems Corp.,"Bethpage, New York"
DHI,25,Consumer Discretionary,D. R. Horton,"Fort Worth, Texas"
DIS,25,Consumer Discretionary,Walt Disney Co.,"Burbank, California"
DISCA,25,Consumer Discretionary,Discovery Communications,"Silver Spring, Maryland"
DLTR,25,Consumer Discretionary,Dollar Tree,"Chesapeake, Virginia"
DRI,25,Consumer Discretionary,Darden Restaurants,"Orlando, Florida"
DTV,25,Consumer Discretionary,DirecTV,"El Segundo, California"
DV,25,Consumer Discretionary,"DeVry, Inc.","Downers Grove, Illinois"
EXPE,25,Consumer Discretionary,Expedia Inc.,"Bellevue, Washington"
F,25,Consumer Discretionary,Ford Motor,"Dearborn, Michigan"
FDO,25,Consumer Discretionary,Family Dollar Stores,"Matthews, North Carolina"
FOSL,25,Consumer Discretionary,"Fossil, Inc.","Richardson, Texas"
GCI,25,Consumer Discretionary,Gannett Co.,"McLean, Virginia"
GME,25,Consumer Discretionary,GameStop Corp.,"Grapevine, Texas"
GPC,25,Consumer Discretionary,Genuine Parts,"Atlanta, Georgia"
GPS,25,Consumer Discretionary,The Gap Inc,"San Francisco, California"
GT,25,Consumer Discretionary,Goodyear Tire & Rubber,"Akron, Ohio"
HAR,25,Consumer Discretionary,Harman Int'l Industries,"Stamford, Connecticut"
HAS,25,Consumer Discretionary,Hasbro Inc.,"Pawtucket, Rhode Island"
HD,25,Consumer Discretionary,Home Depot,"Cobb County, Georgia"
HOG,25,Consumer Discretionary,Harley-Davidson,"Milwaukee, Wisconsin"
HOT,25,Consumer Discretionary,Starwood Hotels & Resorts,"White Plains, New York"
HRB,25,Consumer Discretionary,Block H&R,"Kansas City, Missouri"
IGT,25,Consumer Discretionary,International Game Technology,"Reno, Nevada"
IPG,25,Consumer Discretionary,Interpublic Group,"New York, New York"
JCI,25,Consumer Discretionary,Johnson Controls,"Milwaukee, Wisconsin"
JCP,25,Consumer Discretionary,J.C. Penney,"Plano, Texas"
JWN,25,Consumer Discretionary,Nordstrom,"Seattle, Washington"
KMX,25,Consumer Discretionary,Carmax Inc,"Richmond, Virginia"
KSS,25,Consumer Discretionary,Kohl's Corp.,"Menomonee Falls, Wisconsin"
LEG,25,Consumer Discretionary,Leggett & Platt,"Carthage, Missouri"
LEN,25,Consumer Discretionary,Lennar Corp.,"Miami, Florida"
LOW,25,Consumer Discretionary,Lowe's Cos.,"North Wilkesboro, North Carolina"
LTD,25,Consumer Discretionary,Limited Brands Inc.,"Columbus, Ohio"
M,25,Consumer Discretionary,Macy's Inc.,"Cincinnati, Ohio"
MAR,25,Consumer Discretionary,Marriott Int'l.,"Bethesda, Maryland"
MAT,25,Consumer Discretionary,Mattel Inc.,"El Segundo, California"
MCD,25,Consumer Discretionary,McDonald's Corp.,"Oak Brook, Illinois"
MHP,25,Consumer Discretionary,McGraw-Hill,"New York, New York"
NKE,25,Consumer Discretionary,NIKE Inc.,"Washington County, Oregon"
NWL,25,Consumer Discretionary,Newell Rubbermaid Co.,"Sandy Springs, Georgia"
NWSA,25,Consumer Discretionary,News Corporation,"New York, New York"
OMC,25,Consumer Discretionary,Omnicom Group,"New York, New York"
ORLY,25,Consumer Discretionary,O'Reilly Automotive,"Springfield, Missouri"
PHM,25,Consumer Discretionary,Pulte Homes Inc.,"Bloomfield Hills, Michigan"
RL,25,Consumer Discretionary,Polo Ralph Lauren Corp.,"New York, New York"
ROST,25,Consumer Discretionary,Ross Stores Inc.,"Pleasanton, California"
SBUX,25,Consumer Discretionary,Starbucks Corp.,"Seattle, Washington"
SHW,25,Consumer Discretionary,Sherwin-Williams,"Cleveland, Ohio"
SNA,25,Consumer Discretionary,Snap-On Inc.,"Kenosha, Wisconsin"
SNI,25,Consumer Discretionary,Scripps Networks Interactive Inc.,"Cincinnati, Ohio"
SPLS,25,Consumer Discretionary,Staples Inc.,"Framingham, Massachusetts"
SWK,25,Consumer Discretionary,Stanley Black & Decker,"New Britain, Connecticut"
TGT,25,Consumer Discretionary,Target Corp.,"Minneapolis, Minnesota"
TIF,25,Consumer Discretionary,Tiffany & Co.,"New York, New York"
TJX,25,Consumer Discretionary,TJX Companies Inc.,"Framingham, Massachusetts"
TRIP,25,Consumer Discretionary,TripAdvisor,"Newton, Massachusetts"
TWC,25,Consumer Discretionary,Time Warner Cable Inc.,"New York, New York"
TWX,25,Consumer Discretionary,Time Warner Inc.,"New York, New York"
URBN,25,Consumer Discretionary,Urban Outfitters,"Philadelphia, Pennsylvania"
VFC,25,Consumer Discretionary,V.F. Corp.,"Greensboro, North Carolina"
VIAB,25,Consumer Discretionary,Viacom Inc.,"New York, New York"
WHR,25,Consumer Discretionary,Whirlpool Corp.,"Benton Harbor, Michigan"
WPO,25,Consumer Discretionary,Washington Post Co B,Washington D.C
WYN,25,Consumer Discretionary,Wyndham Worldwide,"Parsippany, New Jersey"
WYNN,25,Consumer Discretionary,Wynn Resorts Ltd,"Las Vegas, Nevada"
YUM,25,Consumer Discretionary,Yum! Brands Inc,"Louisville, Kentucky"
ADM,30,Consumer Staples,Archer-Daniels-Midland Co,"Decatur, Illinois"
AVP,30,Consumer Staples,Avon Products,"New York, New York"
BF.B,30,Consumer Staples,Brown-Forman Corporation,"Louisville, Kentucky"
CAG,30,Consumer Staples,ConAgra Foods Inc.,"Omaha, Nebraska"
CCE,30,Consumer Staples,Coca-Cola Enterprises,"Atlanta, Georgia"
CL,30,Consumer Staples,Colgate-Palmolive,"New York, New York"
